question_id,source_question_no,primary_node_id,verification_status,active,formal_eligible,image_type,ref_count,signature
EXAM-A3-Q001,1,DL-OPT,verified,True,True,mixed,5,59e4789480b2ca70
EXAM-A3-Q009,9,DL-OPT,verified,True,True,question,1,5079dd09ac7abc80
EXAM-A3-Q010,10,DL-OPT,verified,True,True,question,1,5079dd09ac7abc80
EXAM-A3-Q011,11,DL-OPT,verified,True,True,question,1,5079dd09ac7abc80
EXAM-A3-Q012,12,DL-OPT,verified,True,True,question,1,4529f605556730ba
EXAM-A3-Q013,13,DL-OPT,verified,True,True,question,1,4529f605556730ba
EXAM-A3-Q014,14,DL-OPT,verified,True,True,question,1,4529f605556730ba
EXAM-A3-Q017,17,DL-GEN,verified,True,True,options,4,43a0e9823a57cd57
EXAM-A3-Q018,18,DL-GEN,verified,True,True,options,4,43a0e9823a57cd57
EXAM-A3-Q019,19,DL-GEN,verified,True,True,options,4,61e92fac4c828161
EXAM-A3-Q020,20,DL-GEN,verified,True,True,options,4,492ab02eed00cebd
EXAM-A3-Q022,22,DL-REG,verified,True,True,options,4,ff99783f2ad3425e
EXAM-A3-Q030,30,DL-REG,verified,True,True,question,1,c8cd8a4988f668ef
EXAM-A3-Q031,31,DL-REG,verified,True,True,question,1,c8cd8a4988f668ef
EXAM-A3-Q032,32,DL-REG,verified,True,True,question,1,c8cd8a4988f668ef
EXAM-A3-Q033,33,DL-REG,verified,True,True,question,1,c8cd8a4988f668ef
EXAM-A3-Q034,34,DL-REG,verified,True,True,mixed,6,3501009c8d0cdc73
EXAM-A3-Q035,35,DL-REG,verified,True,True,mixed,6,5d7d4e1054bc499b
EXAM-A3-Q039,39,ML-BASICS,verified,True,True,question,1,b26a2dc0c0dac451
EXAM-A3-Q040,40,ML-BASICS,verified,True,True,question,1,b26a2dc0c0dac451
EXAM-A3-Q041,41,ML-BASICS,verified,True,True,question,1,b26a2dc0c0dac451
EXAM-A3-Q042,42,ML-BASICS,verified,True,True,question,1,b26a2dc0c0dac451
EXAM-A3-Q043,43,ML-BASICS,verified,True,True,question,1,b26a2dc0c0dac451
EXAM-A3-Q051,51,DL-CNN,verified,True,True,options,4,18ff2c6ba49f2bec
EXAM-A3-Q060,60,OPS-ENV,verified,True,True,question,1,7f93d9601a0279b5
EXAM-A3-Q061,61,DL-CNN,verified,True,True,question,1,a44e36f2d6e4242c
EXAM-A3-Q062,62,DL-CNN,verified,True,True,question,1,f0a09f83e3311c07
EXAM-A3-Q063,63,DL-CNN,verified,True,True,question,1,69082527a4d2a0d7
EXAM-A1-Q004,4,MATH-PROBSTAT,verified,True,True,options,4,709743ffbc08bdc8
EXAM-A1-Q010,10,MATH-INFO,verified,True,True,options,4,c57c69c5cdc7eb59
EXAM-A1-Q012,12,MATH-INFO,verified,True,True,mixed,5,69352c7eff12e45d
EXAM-A1-Q013,13,MATH-INFO,verified,True,True,question,1,b9749eb70e345edb
EXAM-A1-Q014,14,MATH-INFO,verified,True,True,mixed,5,cf734216e6734855
EXAM-A1-Q016,16,MATH-INFO,verified,True,True,mixed,5,2a710ce91622e434
EXAM-A4-Q013,13,DL-RNN,verified,True,True,options,4,6c2a3470f6c3b72d
EXAM-A4-Q024,24,DL-TRANSFORMER,verified,True,True,options,4,d16f73877b3f6c31
EXAM-A4-Q026,26,DL-TRANSFORMER,verified,True,True,question,1,541f0ddce1612949
EXAM-A4-Q032,32,DL-TRANSFORMER,verified,True,True,question,1,6027656140a717d3
EXAM-A4-Q033,33,DL-TRANSFORMER,verified,True,True,question,1,82451eea339258c1
EXAM-A4-Q039,39,APP-LEARN,verified,True,True,question,2,9c6d67191a37caa0
EXAM-B3-Q035,35,APP-XAI,verified,True,True,question,1,16f5d3215a8afe1d
EXAM-B4-Q013,13,OPS-DIST,verified,True,True,question,1,5955c218372f4eec
EXAM-A1-Q007,7,MATH-PROBSTAT,verified,True,True,question,1,b1438be72c5b3ccb
EXAM-A1-Q008,8,MATH-PROBSTAT,verified,True,True,question,1,b1438be72c5b3ccb
EXAM-A1-Q011,11,MATH-INFO,verified,True,True,mixed,5,b3cf6280d46f02f5
EXAM-A1-Q015,15,MATH-INFO,verified,True,True,mixed,5,9574be3df61f90bd
EXAM-A1-Q017,17,MATH-INFO,provisional,False,False,mixed,5,99bba297d075b032
EXAM-A1-Q018,18,ML-BASICS,verified,True,True,question,1,7a205b116c674223
EXAM-A1-Q020,20,ML-BASICS,verified,True,True,options,4,98ae5f7a375470af
EXAM-A1-Q030,30,ML-BASICS,verified,True,True,mixed,5,c196898faed52981
EXAM-A1-Q031,31,ML-BASICS,verified,True,True,mixed,5,cbdc85204afa809c
EXAM-A1-Q032,32,ML-BASICS,verified,True,True,mixed,5,2268bc32b8abcfad
EXAM-A1-Q034,34,ML-BASICS,verified,True,True,question,1,01ff8fd628a78828
EXAM-A1-Q036,36,ML-BASICS,verified,True,True,question,1,974c89a3dcc64ff4
EXAM-A1-Q041,41,ML-BASICS,verified,True,True,question,1,819dab2c3e11eeb6
EXAM-A1-Q042,42,ML-BASICS,verified,True,True,question,1,819dab2c3e11eeb6
EXAM-A1-Q043,43,ML-BASICS,verified,True,True,question,1,819dab2c3e11eeb6
EXAM-A1-Q048,48,ML-BASICS,verified,True,True,options,4,9ba0edf7a1907b45
EXAM-A1-Q051,51,ML-BASICS,verified,True,True,mixed,5,70c9c9628fe2c64a
EXAM-A1-Q053,53,ML-BASICS,verified,True,True,question,1,82cf1a2734a6854f
EXAM-A1-Q054,54,ML-BASICS,verified,True,True,question,1,f560f6260e2c0fc9
EXAM-A1-Q055,55,ML-BASICS,verified,True,True,mixed,5,02d1b04fceee9ac6
EXAM-A1-Q057,57,ML-BASICS,verified,True,True,question,1,93e1b143b6f4e549
EXAM-A1-Q058,58,ML-BASICS,verified,True,True,question,1,93e1b143b6f4e549
EXAM-A2-Q001,1,DL-FFN,verified,True,True,question,1,e98993d6ac902a90
EXAM-A2-Q002,2,DL-FFN,verified,True,True,question,1,e98993d6ac902a90
EXAM-A2-Q003,3,DL-FFN,verified,True,True,question,1,e98993d6ac902a90
EXAM-A2-Q004,4,DL-FFN,verified,True,True,question,1,e98993d6ac902a90
EXAM-A2-Q005,5,DL-FFN,verified,True,True,mixed,5,cc9eb14de9fda958
EXAM-A2-Q006,6,DL-FFN,verified,True,True,mixed,6,8c30fd144df1cb86
EXAM-A2-Q010,10,DL-FFN,verified,True,True,options,4,a8f5a0d812d9631d
EXAM-A2-Q011,11,DL-FFN,verified,True,True,question,1,513672e3d88f2200
EXAM-A2-Q012,12,DL-FFN,verified,True,True,question,1,513672e3d88f2200
EXAM-A2-Q013,13,DL-FFN,verified,True,True,question,1,513672e3d88f2200
EXAM-A2-Q014,14,DL-FFN,verified,True,True,question,1,513672e3d88f2200
EXAM-A2-Q015,15,DL-FFN,verified,True,True,question,1,513672e3d88f2200
EXAM-A2-Q016,16,DL-FFN,verified,True,True,mixed,5,c98b3d169fe1b659
EXAM-A2-Q017,17,DL-FFN,verified,True,True,mixed,5,84f1eb8766070902
EXAM-A2-Q019,19,DL-FFN,verified,True,True,question,1,6d91bcc98397903a
EXAM-A2-Q020,20,DL-FFN,verified,True,True,question,1,6d91bcc98397903a
EXAM-A2-Q021,21,DL-FFN,verified,True,True,mixed,5,062d44961635fd08
EXAM-A2-Q022,22,DL-FFN,verified,True,True,question,1,6d91bcc98397903a
EXAM-A2-Q023,23,DL-FFN,verified,True,True,question,1,6d91bcc98397903a
EXAM-A2-Q024,24,DL-FFN,verified,True,True,question,1,6d91bcc98397903a
EXAM-A2-Q026,26,DL-FFN,verified,True,True,options,4,8e9bbc20ce09f56d
EXAM-A2-Q027,27,DL-FFN,verified,True,True,options,1,8179555ddb474167
EXAM-A2-Q028,28,DL-FFN,verified,True,True,options,4,6844f3531ddf4f81
EXAM-A2-Q029,29,DL-FFN,verified,True,True,options,4,31ee98a3066779bd
EXAM-A2-Q032,32,DL-FFN,verified,True,True,question,1,7c535fd75ce9e0d2
EXAM-A2-Q033,33,DL-FFN,verified,True,True,question,1,7c535fd75ce9e0d2
EXAM-A2-Q034,34,DL-FFN,verified,True,True,question,1,7c535fd75ce9e0d2
EXAM-A2-Q035,35,DL-FFN,verified,True,True,question,1,7c535fd75ce9e0d2
EXAM-A2-Q036,36,DL-FFN,verified,True,True,mixed,5,7baa775ed00a254c
EXAM-A2-Q037,37,DL-FFN,verified,True,True,question,1,f5e6ad0bad67654c
EXAM-A2-Q038,38,DL-OPT,verified,True,True,question,1,f5e6ad0bad67654c
EXAM-A2-Q039,39,DL-OPT,provisional,False,False,question,1,f5e6ad0bad67654c
EXAM-A2-Q041,41,DL-OPT,verified,True,True,options,4,351d557bd7ba529d
EXAM-A2-Q043,43,DL-OPT,verified,True,True,options,4,c354fbb7718192b1
EXAM-A2-Q044,44,DL-OPT,verified,True,True,question,1,53de92618b2f1eaa
EXAM-A2-Q045,45,DL-OPT,verified,True,True,question,1,53de92618b2f1eaa
EXAM-A2-Q046,46,DL-OPT,verified,True,True,question,1,53de92618b2f1eaa
EXAM-A2-Q047,47,DL-OPT,verified,True,True,question,1,f13f1b10c65a2705
EXAM-A2-Q048,48,DL-OPT,verified,True,True,question,1,f13f1b10c65a2705
EXAM-A2-Q053,53,DL-OPT,provisional,False,False,question,1,214e165f8c6464e5
EXAM-A2-Q054,54,DL-OPT,verified,True,True,question,1,214e165f8c6464e5
